(10, 11) (12, 13) (15, 16) (11, 13)
(10, 11) (12, 13) (11, 13) (34, 11)
(10, 11) (12, 13) (11, 13) (33, 12)
(10, 11) (12, 13) (11, 13) (35, 3)
(10, 11) (12, 13) (11, 13) (33, 3)
(10, 11) (12, 13) (11, 13) (30, 7)
(10, 11) (12, 13) (11, 13) (29, 2)
(10, 11) (12, 13) (11, 13) (27, 3)
(10, 11) (12, 13) (11, 13) (27, 2)
(10, 11) (12, 13) (11, 13) (25, 6)
(10, 11) (12, 13) (11, 13) (25, 6)
(10, 11) (12, 13) (11, 13) (23, 12)
(10, 11) (12, 13) (11, 13) (24, 20)
(10, 11) (12, 13) (11, 13) (21, 10)
(10, 11) (12, 13) (11, 13) (19, 4)
(10, 11) (12, 13) (11, 13) (24, 22)
(10, 11) (12, 13) (11, 13) (13, 7)
(10, 11) (12, 13) (11, 13) (19, 16)
(10, 11) (12, 13) (11, 13) (15, 12)
(10, 11) (12, 13) (11, 13) (8, 3)
(10, 11) (12, 13) (11, 13) (5, 0)
(10, 11) (12, 13) (11, 13) (4, 2)
(10, 11) (12, 13) (11, 13) (10, 9)
(10, 11) (12, 13) (2, 6) (15, 18)
(10, 11) (12, 13) (2, 6) (2, 15)
(10, 11) (12, 13) (2, 6) (6, 19)
(10, 11) (12, 13) (2, 6) (11, 23)
(10, 11) (12, 13) (2, 6) (6, 24)
(10, 11) (12, 13) (2, 6) (22, 25)
(10, 11) (12, 13) (2, 6) (2, 27)
(10, 11) (12, 13) (2, 6) (11, 27)
(10, 11) (12, 13) (2, 6) (22, 26)
(10, 11) (12, 13) (2, 6) (5, 36)
(10, 11) (12, 13) (2, 6) (13, 32)
(10, 11) (12, 13) (2, 6) (5, 38)
(10, 11) (12, 13) (2, 6) (13, 34)
(10, 11) (12, 13) (2, 6) (7, 40)
(10, 11) (12, 13) (2, 6) (19, 30)
(10, 11) (12, 13) (2, 6) (4, 44)
(10, 11) (12, 13) (2, 6) (3, 45)
(10, 11) (12, 13) (2, 6) (3, 45)
(10, 11) (12, 13) (2, 6) (24, 26)
(10, 11) (12, 13) (2, 6) (20, 30)
(10, 11) (12, 13) (2, 6) (5, 48)
(10, 11) (12, 13) (2, 6) (16, 37)
(10, 11) (12, 13) (2, 6) (12, 43)
(10, 11) (12, 13) (2, 6) (16, 41)
(10, 11) (12, 13) (2, 6) (15, 44)
(10, 11) (12, 13) (2, 6) (19, 39)
(10, 11) (12, 13) (2, 6) (17, 45)
(10, 11) (12, 13) (2, 6) (20, 43)
(10, 11) (12, 13) (2, 6) (19, 47)
(10, 11) (12, 13) (2, 6) (21, 40)
(10, 11) (12, 13) (2, 6) (22, 42)
(10, 11) (12, 13) (2, 6) (26, 44)
(10, 11) (12, 13) (2, 6) (26, 36)
(10, 11) (12, 13) (2, 6) (28, 44)
(10, 11) (12, 13) (2, 6) (29, 49)
(10, 11) (12, 13) (2, 6) (29, 48)
(10, 11) (12, 13) (2, 6) (27, 35)
(10, 11) (12, 13) (2, 6) (31, 41)
(10, 11) (12, 13) (2, 6) (35, 45)
(10, 11) (12, 13) (2, 6) (35, 38)
(10, 11) (12, 13) (2, 6) (36, 37)
(10, 11) (12, 13) (2, 6) (38, 36)
(10, 11) (12, 13) (2, 6) (50, 46)
(10, 11) (12, 13) (2, 6) (50, 46)
(10, 11) (12, 13) (2, 6) (47, 41)
(10, 11) (12, 13) (2, 6) (37, 33)
(10, 11) (12, 13) (2, 6) (42, 36)
(10, 11) (12, 13) (2, 6) (38, 32)
(10, 11) (12, 13) (2, 6) (44, 33)
(10, 11) (12, 13) (2, 6) (45, 33)
(10, 11) (12, 13) (2, 6) (38, 29)
(10, 11) (12, 13) (2, 6) (37, 28)
(10, 11) (12, 13) (2, 6) (50, 29)
(10, 11) (12, 13) (2, 6) (34, 26)
(10, 11) (12, 13) (2, 6) (34, 25)
(10, 11) (12, 13) (2, 6) (35, 25)
(10, 11) (12, 13) (2, 6) (48, 22)
(10, 11) (12, 13) (2, 6) (31, 24)
(10, 11) (12, 13) (2, 6) (44, 20)
(10, 11) (12, 13) (2, 6) (42, 20)
(10, 11) (12, 13) (2, 6) (36, 19)
(10, 11) (12, 13) (2, 6) (45, 13)
(10, 11) (12, 13) (2, 6) (34, 19)
(10, 11) (12, 13) (2, 6) (50, 8)
(10, 11) (12, 13) (2, 6) (47, 6)
(10, 11) (12, 13) (2, 6) (33, 18)
(10, 11) (12, 13) (2, 6) (43, 6)
(10, 11) (12, 13) (2, 6) (37, 12)
(10, 11) (12, 13) (2, 6) (38, 9)
(10, 11) (12, 13) (2, 6) (42, 4)
(10, 11) (12, 13) (2, 6) (33, 15)
(10, 11) (12, 13) (2, 6) (34, 11)
(10, 11) (12, 13) (2, 6) (33, 12)
(10, 11) (12, 13) (2, 6) (35, 3)
(10, 11) (12, 13) (2, 6) (33, 3)
(10, 11) (12, 13) (2, 6) (30, 7)
(10, 11) (12, 13) (2, 6) (29, 2)
(10, 11) (12, 13) (2, 6) (27, 3)
(10, 11) (12, 13) (2, 6) (27, 2)
(10, 11) (12, 13) (2, 6) (25, 6)
(10, 11) (12, 13) (2, 6) (25, 6)
(10, 11) (12, 13) (2, 6) (23, 12)
(10, 11) (12, 13) (2, 6) (24, 20)
(10, 11) (12, 13) (2, 6) (21, 10)
(10, 11) (12, 13) (2, 6) (19, 4)
(10, 11) (12, 13) (2, 6) (24, 22)
(10, 11) (12, 13) (2, 6) (13, 7)
(10, 11) (12, 13) (2, 6) (19, 16)
(10, 11) (12, 13) (2, 6) (15, 12)
(10, 11) (12, 13) (2, 6) (8, 3)
(10, 11) (12, 13) (2, 6) (5, 0)
(10, 11) (12, 13) (2, 6) (4, 2)
(10, 11) (12, 13) (2, 6) (10, 9)
(10, 11) (12, 13) (15, 18) (2, 15)
(10, 11) (12, 13) (15, 18) (6, 19)
(10, 11) (12, 13) (15, 18) (11, 23)
(10, 11) (12, 13) (15, 18) (6, 24)
(10, 11) (12, 13) (15, 18) (22, 25)
(10, 11) (12, 13) (15, 18) (2, 27)
(10, 11) (12, 13) (15, 18) (11, 27)
(10, 11) (12, 13) (15, 18) (22, 26)
(10, 11) (12, 13) (15, 18) (5, 36)
(10, 11) (12, 13) (15, 18) (13, 32)
(10, 11) (12, 13) (15, 18) (5, 38)
(10, 11) (12, 13) (15, 18) (13, 34)
(10, 11) (12, 13) (15, 18) (7, 40)
(10, 11) (12, 13) (15, 18) (19, 30)
(10, 11) (12, 13) (15, 18) (4, 44)
(10, 11) (12, 13) (15, 18) (3, 45)
(10, 11) (12, 13) (15, 18) (3, 45)
(10, 11) (12, 13) (15, 18) (24, 26)
(10, 11) (12, 13) (15, 18) (20, 30)
(10, 11) (12, 13) (15, 18) (5, 48)
(10, 11) (12, 13) (15, 18) (16, 37)
(10, 11) (12, 13) (15, 18) (12, 43)
(10, 11) (12, 13) (15, 18) (16, 41)
(10, 11) (12, 13) (15, 18) (15, 44)
(10, 11) (12, 13) (15, 18) (19, 39)
(10, 11) (12, 13) (15, 18) (17, 45)
(10, 11) (12, 13) (15, 18) (20, 43)
(10, 11) (12, 13) (15, 18) (19, 47)
(10, 11) (12, 13) (15, 18) (21, 40)
(10, 11) (12, 13) (15, 18) (22, 42)
(10, 11) (12, 13) (15, 18) (26, 44)
(10, 11) (12, 13) (15, 18) (26, 36)
(10, 11) (12, 13) (15, 18) (28, 44)
(10, 11) (12, 13) (15, 18) (29, 49)
(10, 11) (12, 13) (15, 18) (29, 48)
(10, 11) (12, 13) (15, 18) (27, 35)
(10, 11) (12, 13) (15, 18) (31, 41)
(10, 11) (12, 13) (15, 18) (35, 45)
(10, 11) (12, 13) (15, 18) (35, 38)
(10, 11) (12, 13) (15, 18) (36, 37)
(10, 11) (12, 13) (15, 18) (38, 36)
(10, 11) (12, 13) (15, 18) (50, 46)
(10, 11) (12, 13) (15, 18) (50, 46)
(10, 11) (12, 13) (15, 18) (47, 41)
(10, 11) (12, 13) (15, 18) (37, 33)
(10, 11) (12, 13) (15, 18) (42, 36)
(10, 11) (12, 13) (15, 18) (38, 32)
(10, 11) (12, 13) (15, 18) (44, 33)
(10, 11) (12, 13) (15, 18) (45, 33)
(10, 11) (12, 13) (15, 18) (38, 29)
(10, 11) (12, 13) (15, 18) (37, 28)
(10, 11) (12, 13) (15, 18) (50, 29)
(10, 11) (12, 13) (15, 18) (34, 26)
(10, 11) (12, 13) (15, 18) (34, 25)
(10, 11) (12, 13) (15, 18) (35, 25)
(10, 11) (12, 13) (15, 18) (48, 22)
(10, 11) (12, 13) (15, 18) (31, 24)
(10, 11) (12, 13) (15, 18) (44, 20)
(10, 11) (12, 13) (15, 18) (42, 20)
(10, 11) (12, 13) (15, 18) (36, 19)
(10, 11) (12, 13) (15, 18) (45, 13)
(10, 11) (12, 13) (15, 18) (34, 19)
(10, 11) (12, 13) (15, 18) (50, 8)
(10, 11) (12, 13) (15, 18) (47, 6)
(10, 11) (12, 13) (15, 18) (33, 18)
(10, 11) (12, 13) (15, 18) (43, 6)
(10, 11) (12, 13) (15, 18) (37, 12)
(10, 11) (12, 13) (15, 18) (38, 9)
(10, 11) (12, 13) (15, 18) (42, 4)
(10, 11) (12, 13) (15, 18) (33, 15)
(10, 11) (12, 13) (15, 18) (34, 11)
(10, 11) (12, 13) (15, 18) (33, 12)
(10, 11) (12, 13) (15, 18) (35, 3)
(10, 11) (12, 13) (15, 18) (33, 3)
(10, 11) (12, 13) (15, 18) (30, 7)
(10, 11) (12, 13) (15, 18) (29, 2)
(10, 11) (12, 13) (15, 18) (27, 3)
(10, 11) (12, 13) (15, 18) (27, 2)
(10, 11) (12, 13) (15, 18) (25, 6)
(10, 11) (12, 13) (15, 18) (25, 6)
(10, 11) (12, 13) (15, 18) (23, 12)
(10, 11) (12, 13) (15, 18) (24, 20)
(10, 11) (12, 13) (15, 18) (21, 10)
(10, 11) (12, 13) (15, 18) (19, 4)
(10, 11) (12, 13) (15, 18) (24, 22)
(10, 11) (12, 13) (15, 18) (13, 7)
(10, 11) (12, 13) (15, 18) (19, 16)
(10, 11) (12, 13) (15, 18) (15, 12)
(10, 11) (12, 13) (15, 18) (8, 3)
(10, 11) (12, 13) (15, 18) (5, 0)
(10, 11) (12, 13) (15, 18) (4, 2)
(10, 11) (12, 13) (15, 18) (10, 9)
(10, 11) (12, 13) (2, 15) (6, 19)
(10, 11) (12, 13) (2, 15) (11, 23)
(10, 11) (12, 13) (2, 15) (6, 24)
(10, 11) (12, 13) (2, 15) (22, 25)
(10, 11) (12, 13) (2, 15) (2, 27)
(10, 11) (12, 13) (2, 15) (11, 27)
(10, 11) (12, 13) (2, 15) (22, 26)
(10, 11) (12, 13) (2, 15) (5, 36)
(10, 11) (12, 13) (2, 15) (13, 32)
(10, 11) (12, 13) (2, 15) (5, 38)
(10, 11) (12, 13) (2, 15) (13, 34)
(10, 11) (12, 13) (2, 15) (7, 40)
(10, 11) (12, 13) (2, 15) (19, 30)
(10, 11) (12, 13) (2, 15) (4, 44)
(10, 11) (12, 13) (2, 15) (3, 45)
(10, 11) (12, 13) (2, 15) (3, 45)
(10, 11) (12, 13) (2, 15) (24, 26)
(10, 11) (12, 13) (2, 15) (20, 30)
(10, 11) (12, 13) (2, 15) (5, 48)
(10, 11) (12, 13) (2, 15) (16, 37)
(10, 11) (12, 13) (2, 15) (12, 43)
(10, 11) (12, 13) (2, 15) (16, 41)
(10, 11) (12, 13) (2, 15) (15, 44)
(10, 11) (12, 13) (2, 15) (19, 39)
(10, 11) (12, 13) (2, 15) (17, 45)
(10, 11) (12, 13) (2, 15) (20, 43)
(10, 11) (12, 13) (2, 15) (19, 47)
(10, 11) (12, 13) (2, 15) (21, 40)
(10, 11) (12, 13) (2, 15) (22, 42)
(10, 11) (12, 13) (2, 15) (26, 44)
(10, 11) (12, 13) (2, 15) (26, 36)
(10, 11) (12, 13) (2, 15) (28, 44)
(10, 11) (12, 13) (2, 15) (29, 49)
(10, 11) (12, 13) (2, 15) (29, 48)
(10, 11) (12, 13) (2, 15) (27, 35)
(10, 11) (12, 13) (2, 15) (31, 41)
(10, 11) (12, 13) (2, 15) (35, 45)
(10, 11) (12, 13) (2, 15) (35, 38)
(10, 11) (12, 13) (2, 15) (36, 37)
(10, 11) (12, 13) (2, 15) (38, 36)
(10, 11) (12, 13) (2, 15) (50, 46)
(10, 11) (12, 13) (2, 15) (50, 46)
(10, 11) (12, 13) (2, 15) (47, 41)
(10, 11) (12, 13) (2, 15) (37, 33)
(10, 11) (12, 13) (2, 15) (42, 36)
(10, 11) (12, 13) (2, 15) (38, 32)
(10, 11) (12, 13) (2, 15) (44, 33)
(10, 11) (12, 13) (2, 15) (45, 33)
(10, 11) (12, 13) (2, 15) (38, 29)
(10, 11) (12, 13) (2, 15) (37, 28)
(10, 11) (12, 13) (2, 15) (50, 29)
(10, 11) (12, 13) (2, 15) (34, 26)
(10, 11) (12, 13) (2, 15) (34, 25)
(10, 11) (12, 13) (2, 15) (35, 25)
(10, 11) (12, 13) (2, 15) (48, 22)
(10, 11) (12, 13) (2, 15) (31, 24)
(10, 11) (12, 13) (2, 15) (44, 20)
(10, 11) (12, 13) (2, 15) (42, 20)
(10, 11) (12, 13) (2, 15) (36, 19)
(10, 11) (12, 13) (2, 15) (45, 13)
(10, 11) (12, 13) (2, 15) (34, 19)
(10, 11) (12, 13) (2, 15) (50, 8)
(10, 11) (12, 13) (2, 15) (47, 6)
(10, 11) (12, 13) (2, 15) (33, 18)
(10, 11) (12, 13) (2, 15) (43, 6)
(10, 11) (12, 13) (2, 15) (37, 12)
(10, 11) (12, 13) (2, 15) (38, 9)
(10, 11) (12, 13) (2, 15) (42, 4)
(10, 11) (12, 13) (2, 15) (33, 15)
(10, 11) (12, 13) (2, 15) (34, 11)
(10, 11) (12, 13) (2, 15) (33, 12)
(10, 11) (12, 13) (2, 15) (35, 3)
(10, 11) (12, 13) (2, 15) (33, 3)
(10, 11) (12, 13) (2, 15) (30, 7)
(10, 11) (12, 13) (2, 15) (29, 2)
(10, 11) (12, 13) (2, 15) (27, 3)
(10, 11) (12, 13) (2, 15) (27, 2)
(10, 11) (12, 13) (2, 15) (25, 6)
(10, 11) (12, 13) (2, 15) (25, 6)
(10, 11) (12, 13) (2, 15) (23, 12)
(10, 11) (12, 13) (2, 15) (24, 20)
(10, 11) (12, 13) (2, 15) (21, 10)
(10, 11) (12, 13) (2, 15) (19, 4)
(10, 11) (12, 13) (2, 15) (24, 22)
(10, 11) (12, 13) (2, 15) (13, 7)
(10, 11) (12, 13) (2, 15) (19, 16)
(10, 11) (12, 13) (2, 15) (15, 12)
(10, 11) (12, 13) (2, 15) (8, 3)
(10, 11) (12, 13) (2, 15) (5, 0)
(10, 11) (12, 13) (2, 15) (4, 2)
(10, 11) (12, 13) (2, 15) (10, 9)
(10, 11) (12, 13) (6, 19) (11, 23)
(10, 11) (12, 13) (6, 19) (6, 24)
(10, 11) (12, 13) (6, 19) (22, 25)
(10, 11) (12, 13) (6, 19) (2, 27)
(10, 11) (12, 13) (6, 19) (11, 27)
(10, 11) (12, 13) (6, 19) (22, 26)
(10, 11) (12, 13) (6, 19) (5, 36)
(10, 11) (12, 13) (6, 19) (13, 32)
(10, 11) (12, 13) (6, 19) (5, 38)
(10, 11) (12, 13) (6, 19) (13, 34)
(10, 11) (12, 13) (6, 19) (7, 40)
(10, 11) (12, 13) (6, 19) (19, 30)
(10, 11) (12, 13) (6, 19) (4, 44)
(10, 11) (12, 13) (6, 19) (3, 45)
(10, 11) (12, 13) (6, 19) (3, 45)
(10, 11) (12, 13) (6, 19) (24, 26)
(10, 11) (12, 13) (6, 19) (20, 30)
(10, 11) (12, 13) (6, 19) (5, 48)
(10, 11) (12, 13) (6, 19) (16, 37)
(10, 11) (12, 13) (6, 19) (12, 43)
(10, 11) (12, 13) (6, 19) (16, 41)
(10, 11) (12, 13) (6, 19) (15, 44)
(10, 11) (12, 13) (6, 19) (19, 39)
(10, 11) (12, 13) (6, 19) (17, 45)
(10, 11) (12, 13) (6, 19) (20, 43)
(10, 11) (12, 13) (6, 19) (19, 47)
(10, 11) (12, 13) (6, 19) (21, 40)
(10, 11) (12, 13) (6, 19) (22, 42)
(10, 11) (12, 13) (6, 19) (26, 44)
(10, 11) (12, 13) (6, 19) (26, 36)
(10, 11) (12, 13) (6, 19) (28, 44)
(10, 11) (12, 13) (6, 19) (29, 49)
(10, 11) (12, 13) (6, 19) (29, 48)
(10, 11) (12, 13) (6, 19) (27, 35)
(10, 11) (12, 13) (6, 19) (31, 41)
(10, 11) (12, 13) (6, 19) (35, 45)
(10, 11) (12, 13) (6, 19) (35, 38)
(10, 11) (12, 13) (6, 19) (36, 37)
(10, 11) (12, 13) (6, 19) (38, 36)
(10, 11) (12, 13) (6, 19) (50, 46)
(10, 11) (12, 13) (6, 19) (50, 46)
(10, 11) (12, 13) (6, 19) (47, 41)
(10, 11) (12, 13) (6, 19) (37, 33)
(10, 11) (12, 13) (6, 19) (42, 36)
(10, 11) (12, 13) (6, 19) (38, 32)
(10, 11) (12, 13) (6, 19) (44, 33)
(10, 11) (12, 13) (6, 19) (45, 33)
(10, 11) (12, 13) (6, 19) (38, 29)
(10, 11) (12, 13) (6, 19) (37, 28)
(10, 11) (12, 13) (6, 19) (50, 29)
(10, 11) (12, 13) (6, 19) (34, 26)
(10, 11) (12, 13) (6, 19) (34, 25)
(10, 11) (12, 13) (6, 19) (35, 25)
(10, 11) (12, 13) (6, 19) (48, 22)
(10, 11) (12, 13) (6, 19) (31, 24)
(10, 11) (12, 13) (6, 19) (44, 20)
(10, 11) (12, 13) (6, 19) (42, 20)
(10, 11) (12, 13) (6, 19) (36, 19)
(10, 11) (12, 13) (6, 19) (45, 13)
(10, 11) (12, 13) (6, 19) (34, 19)
(10, 11) (12, 13) (6, 19) (50, 8)
(10, 11) (12, 13) (6, 19) (47, 6)
(10, 11) (12, 13) (6, 19) (33, 18)
(10, 11) (12, 13) (6, 19) (43, 6)
(10, 11) (12, 13) (6, 19) (37, 12)
(10, 11) (12, 13) (6, 19) (38, 9)
(10, 11) (12, 13) (6, 19) (42, 4)
(10, 11) (12, 13) (6, 19) (33, 15)
(10, 11) (12, 13) (6, 19) (34, 11)
(10, 11) (12, 13) (6, 19) (33, 12)
(10, 11) (12, 13) (6, 19) (35, 3)
(10, 11) (12, 13) (6, 19) (33, 3)
(10, 11) (12, 13) (6, 19) (30, 7)
(10, 11) (12, 13) (6, 19) (29, 2)
(10, 11) (12, 13) (6, 19) (27, 3)
(10, 11) (12, 13) (6, 19) (27, 2)
(10, 11) (12, 13) (6, 19) (25, 6)
(10, 11) (12, 13) (6, 19) (25, 6)
(10, 11) (12, 13) (6, 19) (23, 12)
(10, 11) (12, 13) (6, 19) (24, 20)
(10, 11) (12, 13) (6, 19) (21, 10)
(10, 11) (12, 13) (6, 19) (19, 4)
(10, 11) (12, 13) (6, 19) (24, 22)
(10, 11) (12, 13) (6, 19) (13, 7)
(10, 11) (12, 13) (6, 19) (19, 16)
(10, 11) (12, 13) (6, 19) (15, 12)
(10, 11) (12, 13) (6, 19) (8, 3)
(10, 11) (12, 13) (6, 19) (5, 0)
(10, 11) (12, 13) (6, 19) (4, 2)
(10, 11) (12, 13) (6, 19) (10, 9)
(10, 11) (12, 13) (11, 23) (6, 24)
(10, 11) (12, 13) (11, 23) (22, 25)
(10, 11) (12, 13) (11, 23) (2, 27)
(10, 11) (12, 13) (11, 23) (11, 27)
